# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-24T02-44-25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-24T02:44:25
# E0	-3.0396598110480402e-6
# l0	3.4641016151377544
# Ep	4.480566836510487e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	3.141592653589793	0.47123889803846897	0.0008379439261427989
-1.	3.141592653589793	0.5026548245743669	0.0008380000529755127
-1.	3.141592653589793	0.5340707511102649	0.0008379991417625263
-1.	3.141592653589793	0.5654866776461628	0.0008379412433634697
-1.	3.141592653589793	0.5969026041820606	0.000837826431385211
-1.	3.141592653589793	0.6283185307179586	0.0008376548051396522
-1.	3.141592653589793	0.6597344572538565	0.0008374264756098094
-1.	3.141592653589793	0.6911503837897545	0.0008371415806172019
-1.	3.141592653589793	0.7225663103256524	0.0008368002758052965
-1.	3.141592653589793	0.7539822368615503	0.0008364027372432397
-1.	3.141592653589793	0.7853981633974483	0.0008359491610812593
-1.	3.141592653589793	0.8168140899333463	0.0008354397577315261
-1.	3.141592653589793	0.8482300164692442	0.000834874767294771
-1.	3.141592653589793	0.8796459430051422	0.0008342544431709022
-1.	3.141592653589793	0.91106186954104	0.0008335790540480767
-1.	3.141592653589793	0.9424777960769379	0.0008328488976307017
-1.	3.141592653589793	0.9738937226128359	0.0008320642868019754
-1.	3.141592653589793	1.0053096491487339	0.0008312255424211567
-1.	3.141592653589793	1.0367255756846319	0.0008303330243016647
-1.	3.141592653589793	1.0681415022205298	0.0008293871019448539
-1.	3.141592653589793	1.0995574287564276	0.0008283881500683197
-1.	3.141592653589793	1.1309733552923256	0.0008273365830716864
-1.	3.141592653589793	1.1623892818282235	0.0008262328266430489
-1.	3.141592653589793	1.1938052083641213	0.0008250773216572871
-1.	3.141592653589793	1.2252211349000193	0.0008238705282763876
-1.	3.141592653589793	1.2566370614359172	0.0008226129313104356
-1.	3.141592653589793	1.288052987971815	0.0008213050242907002
-1.	3.141592653589793	1.319468914507713	0.0008199473338662816
-1.	3.141592653589793	1.350884841043611	0.0008185403867558369
-1.	3.141592653589793	1.382300767579509	0.0008170847528682017
-1.	3.141592653589793	1.413716694115407	0.0008155810040293229
-1.	3.141592653589793	1.4451326206513049	0.0008140297347094187
-1.	3.141592653589793	1.4765485471872026	0.0008124315635135966
-1.	3.141592653589793	1.5079644737231006	0.0008107871264576431
-1.	3.141592653589793	1.5393804002589986	0.0008090970881402251
-1.	3.141592653589793	1.5707963267948966	0.0008073621250522173
-1.	3.141592653589793	1.6022122533307945	0.0008055829413119017
-1.	3.141592653589793	1.6336281798666925	0.0008037602591077495
-1.	3.141592653589793	1.6650441064025905	0.0008018948317784683
-1.	3.141592653589793	1.6964600329384885	0.0007999874293156274
-1.	3.141592653589793	1.7278759594743864	0.0007980388532439043
-1.	3.141592653589793	1.7592918860102844	0.0007960499330422723
-1.	3.141592653589793	1.790707812546182	0.0007940215156473444
-1.	3.141592653589793	1.82212373908208	0.000791954488788443
-1.	3.141592653589793	1.853539665617978	0.000789849759998291
-1.	3.141592653589793	1.8849555921538759	0.0007877082816218638
-1.	3.141592653589793	1.9163715186897738	0.0007855310260945211
-1.	3.141592653589793	1.9477874452256718	0.0007833190103585832
-1.	3.141592653589793	1.9792033717615696	0.0007810732863112513
-1.	3.141592653589793	2.0106192982974678	0.0007787949434655611
-1.	3.141592653589793	2.0420352248333655	0.0007764851164525625
-1.	3.141592653589793	2.0734511513692637	0.0007741449884689313
-1.	3.141592653589793	2.1048670779051615	0.0007717757821513559
-1.	3.141592653589793	2.1362830044410597	0.0007693787772665965
-1.	3.141592653589793	2.167698930976957	0.000766955304548637
-1.	3.141592653589793	2.199114857512855	0.0007645067550417588
-1.	3.141592653589793	2.230530784048753	0.0007620345832945765
-1.	3.141592653589793	2.261946710584651	0.0007595403010908027
-1.	3.141592653589793	2.293362637120549	0.0007570255024442117
-1.	3.141592653589793	2.324778563656447	0.0007544918479722792
-1.	3.141592653589793	2.356194490192345	0.000751941088786485
-1.	3.141592653589793	2.3876104167282426	0.0007493750460666725
-1.	3.141592653589793	2.419026343264141	0.000746795644936759
-1.	3.141592653589793	2.4504422698000385	0.000744204902975074
-1.	3.141592653589793	2.4818581963359367	0.0007416049441063551
-1.	3.141592653589793	2.5132741228718345	0.0007389979997031045
-1.	3.141592653589793	2.5446900494077327	0.0007363864180306832
-1.	3.141592653589793	2.57610597594363	0.0007337726755705493
-1.	3.141592653589793	2.607521902479528	0.000731159377494706
-1.	3.141592653589793	2.638937829015426	0.0007285492645904382
-1.	3.141592653589793	2.670353755551324	0.0007259452243206329
-1.	3.141592653589793	2.701769682087222	0.000723350304427799
-1.	3.141592653589793	2.73318560862312	0.0007207676977293517
-1.	3.141592653589793	2.764601535159018	0.0007182007747309473
-1.	3.141592653589793	2.796017461694916	0.0007156530749598955
-1.	3.141592653589793	2.827433388230814	0.0007131283109240779
-1.	3.141592653589793	2.858849314766712	0.0007106303828429332
-1.	3.141592653589793	2.8902652413026098	0.0007081633677522991
-1.	3.141592653589793	2.921681167838508	0.000705731537445474
-1.	3.141592653589793	2.9530970943744053	0.0007033393376630552
-1.	3.141592653589793	2.9845130209103035	0.0007009914125040943
-1.	3.141592653589793	3.015928947446201	0.0006986925594228199
-1.	3.141592653589793	3.0473448739820994	0.0006964477712087173
-1.	3.141592653589793	3.078760800517997	0.0006942621840405755
-1.	3.141592653589793	3.1101767270538954	0.0006921410824076847
-1.	3.141592653589793	3.141592653589793	0.000690089873477937
-1.	3.141592653589793	3.173008580125691	0.0006881140630552001
-1.	3.141592653589793	3.204424506661589	0.0006862192329450794
-1.	3.141592653589793	3.235840433197487	0.0006844110056701878
