,Dir,field,dW,W0,a,phi,y0
73,-1,73.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
74,-1,74.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
75,-1,75.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
76,-1,76.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
77,-1,77.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
78,-1,78.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
79,-1,79.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
80,-1,80.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
81,-1,81.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
82,-1,82.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
83,-1,83.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
84,-1,84.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
85,-1,85.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
86,-1,86.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
87,-1,87.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
88,-1,88.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
89,-1,89.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
90,-1,90.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
91,-1,91.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
92,-1,92.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
93,-1,93.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
94,-1,94.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
95,-1,95.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
96,-1,96.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
97,-1,97.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
98,-1,98.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
99,-1,99.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
100,-1,100.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
0,1,0.0,43,0,-0.16651111231291518,3.6826447217080314,0.30138888888888926
1,1,1.0,43,0,-0.16707864894651347,3.6826447217080314,0.28750000000000014
2,1,2.0,43,0,-0.16730471365341074,3.6826447217080314,0.27916666666666706
3,1,3.0,43,0,-0.16718985735145253,3.6826447217080314,0.27083333333333337
4,1,4.0,43,0,-0.1658660077146037,3.6826447217080314,0.2569444444444447
5,1,5.0,43,0,-0.1648818195127397,3.6826447217080314,0.2486111111111113
6,1,6.0,43,0,-0.16356239072986753,3.6826447217080314,0.24027777777777798
7,1,7.0,43,0,-0.16334820420730217,3.6826447217080314,0.23750000000000016
8,1,8.0,43,0,-0.16277063922588753,3.6826447217080314,0.23194444444444484
9,1,9.0,43,0,-0.1606906756190658,3.6826447217080314,0.22361111111111154
10,1,10.0,43,0,-0.15828593941689978,3.6826447217080314,0.21527777777777807
