,E0,Ep,dL,phi,th_LRL
5218,0.,43.2,1.,18.,0.
5223,0.,43.2,1.,23.,0.
5226,0.,43.2,1.,26.,0.
5248,0.,43.2,1.,48.,0.
5262,0.,43.2,1.,62.,0.
5263,0.,43.2,1.,63.,0.
5264,0.,43.2,1.,64.,0.
5276,0.,43.2,1.,76.,0.
5285,0.,43.2,1.,85.,0.
5357,0.,43.2,1.,157.,0.
5361,0.,43.2,1.,161.,0.
5376,0.,43.2,1.,176.,0.
5377,0.,43.2,1.,177.,0.
5381,0.,43.2,1.,181.,0.
5382,0.,43.2,1.,182.,0.
5388,0.,43.2,1.,188.,0.
5392,0.,43.2,1.,192.,0.
5396,0.,43.2,1.,196.,0.
5397,0.,43.2,1.,197.,0.
5398,0.,43.2,1.,198.,0.
5505,0.,43.2,1.,105.,1.
5520,0.,43.2,1.,120.,1.
5525,0.,43.2,1.,125.,1.
5600,0.,57.6,-1.,0.,0.
5601,0.,57.6,-1.,1.,0.
5605,0.,57.6,-1.,5.,0.
5612,0.,57.6,-1.,12.,0.
5614,0.,57.6,-1.,14.,0.
5621,0.,57.6,-1.,21.,0.
5622,0.,57.6,-1.,22.,0.
5623,0.,57.6,-1.,23.,0.
5626,0.,57.6,-1.,26.,0.
5635,0.,57.6,-1.,35.,0.
5638,0.,57.6,-1.,38.,0.
5639,0.,57.6,-1.,39.,0.
5640,0.,57.6,-1.,40.,0.
5645,0.,57.6,-1.,45.,0.
5658,0.,57.6,-1.,58.,0.
5660,0.,57.6,-1.,60.,0.
5662,0.,57.6,-1.,62.,0.
5664,0.,57.6,-1.,64.,0.
5665,0.,57.6,-1.,65.,0.
5666,0.,57.6,-1.,66.,0.
5669,0.,57.6,-1.,69.,0.
5674,0.,57.6,-1.,74.,0.
5675,0.,57.6,-1.,75.,0.
5676,0.,57.6,-1.,76.,0.
5683,0.,57.6,-1.,83.,0.
5760,0.,57.6,-1.,160.,0.
5763,0.,57.6,-1.,163.,0.
5777,0.,57.6,-1.,177.,0.
5778,0.,57.6,-1.,178.,0.
5779,0.,57.6,-1.,179.,0.
5781,0.,57.6,-1.,181.,0.
5783,0.,57.6,-1.,183.,0.
5788,0.,57.6,-1.,188.,0.
5796,0.,57.6,-1.,196.,0.
6000,0.,57.6,1.,0.,0.
6001,0.,57.6,1.,1.,0.
6005,0.,57.6,1.,5.,0.
6012,0.,57.6,1.,12.,0.
6014,0.,57.6,1.,14.,0.
6021,0.,57.6,1.,21.,0.
6022,0.,57.6,1.,22.,0.
6023,0.,57.6,1.,23.,0.
6026,0.,57.6,1.,26.,0.
6035,0.,57.6,1.,35.,0.
6038,0.,57.6,1.,38.,0.
6039,0.,57.6,1.,39.,0.
6040,0.,57.6,1.,40.,0.
6045,0.,57.6,1.,45.,0.
6058,0.,57.6,1.,58.,0.
6060,0.,57.6,1.,60.,0.
6062,0.,57.6,1.,62.,0.
6064,0.,57.6,1.,64.,0.
6065,0.,57.6,1.,65.,0.
6066,0.,57.6,1.,66.,0.
6069,0.,57.6,1.,69.,0.
6074,0.,57.6,1.,74.,0.
6075,0.,57.6,1.,75.,0.
6076,0.,57.6,1.,76.,0.
6083,0.,57.6,1.,83.,0.
6160,0.,57.6,1.,160.,0.
6163,0.,57.6,1.,163.,0.
6177,0.,57.6,1.,177.,0.
6178,0.,57.6,1.,178.,0.
6179,0.,57.6,1.,179.,0.
6181,0.,57.6,1.,181.,0.
6183,0.,57.6,1.,183.,0.
6188,0.,57.6,1.,188.,0.
6196,0.,57.6,1.,196.,0.
6401,0.,72.,-1.,1.,0.
6403,0.,72.,-1.,3.,0.
6407,0.,72.,-1.,7.,0.
6412,0.,72.,-1.,12.,0.
6416,0.,72.,-1.,16.,0.
6427,0.,72.,-1.,27.,0.
6428,0.,72.,-1.,28.,0.
6434,0.,72.,-1.,34.,0.
6441,0.,72.,-1.,41.,0.
6447,0.,72.,-1.,47.,0.
6456,0.,72.,-1.,56.,0.
6457,0.,72.,-1.,57.,0.
6463,0.,72.,-1.,63.,0.
6464,0.,72.,-1.,64.,0.
6468,0.,72.,-1.,68.,0.
6561,0.,72.,-1.,161.,0.
6568,0.,72.,-1.,168.,0.
6570,0.,72.,-1.,170.,0.
6574,0.,72.,-1.,174.,0.
6577,0.,72.,-1.,177.,0.
6579,0.,72.,-1.,179.,0.
6584,0.,72.,-1.,184.,0.
6589,0.,72.,-1.,189.,0.
6593,0.,72.,-1.,193.,0.
6594,0.,72.,-1.,194.,0.
6596,0.,72.,-1.,196.,0.
6599,0.,72.,-1.,199.,0.
6801,0.,72.,1.,1.,0.
6803,0.,72.,1.,3.,0.
6807,0.,72.,1.,7.,0.
6812,0.,72.,1.,12.,0.
6816,0.,72.,1.,16.,0.
6827,0.,72.,1.,27.,0.
6828,0.,72.,1.,28.,0.
6834,0.,72.,1.,34.,0.
6841,0.,72.,1.,41.,0.
6847,0.,72.,1.,47.,0.
6856,0.,72.,1.,56.,0.
6857,0.,72.,1.,57.,0.
6863,0.,72.,1.,63.,0.
6864,0.,72.,1.,64.,0.
6868,0.,72.,1.,68.,0.
6961,0.,72.,1.,161.,0.
6968,0.,72.,1.,168.,0.
6970,0.,72.,1.,170.,0.
6974,0.,72.,1.,174.,0.
6977,0.,72.,1.,177.,0.
6979,0.,72.,1.,179.,0.
6984,0.,72.,1.,184.,0.
6989,0.,72.,1.,189.,0.
6993,0.,72.,1.,193.,0.
6994,0.,72.,1.,194.,0.
6996,0.,72.,1.,196.,0.
6999,0.,72.,1.,199.,0.
7200,0.,86.4,-1.,0.,0.
7203,0.,86.4,-1.,3.,0.
7206,0.,86.4,-1.,6.,0.
7210,0.,86.4,-1.,10.,0.
7222,0.,86.4,-1.,22.,0.
7224,0.,86.4,-1.,24.,0.
7228,0.,86.4,-1.,28.,0.
7230,0.,86.4,-1.,30.,0.
7231,0.,86.4,-1.,31.,0.
7235,0.,86.4,-1.,35.,0.
7242,0.,86.4,-1.,42.,0.
7255,0.,86.4,-1.,55.,0.
7258,0.,86.4,-1.,58.,0.
7259,0.,86.4,-1.,59.,0.
7260,0.,86.4,-1.,60.,0.
7261,0.,86.4,-1.,61.,0.
7263,0.,86.4,-1.,63.,0.
7265,0.,86.4,-1.,65.,0.
7277,0.,86.4,-1.,77.,0.
7332,0.,86.4,-1.,132.,0.
7359,0.,86.4,-1.,159.,0.
7363,0.,86.4,-1.,163.,0.
7378,0.,86.4,-1.,178.,0.
7379,0.,86.4,-1.,179.,0.
7380,0.,86.4,-1.,180.,0.
7381,0.,86.4,-1.,181.,0.
7382,0.,86.4,-1.,182.,0.
7384,0.,86.4,-1.,184.,0.
7386,0.,86.4,-1.,186.,0.
7388,0.,86.4,-1.,188.,0.
7390,0.,86.4,-1.,190.,0.
7391,0.,86.4,-1.,191.,0.
7600,0.,86.4,1.,0.,0.
7603,0.,86.4,1.,3.,0.
7606,0.,86.4,1.,6.,0.
7610,0.,86.4,1.,10.,0.
7622,0.,86.4,1.,22.,0.
7624,0.,86.4,1.,24.,0.
7628,0.,86.4,1.,28.,0.
7630,0.,86.4,1.,30.,0.
7631,0.,86.4,1.,31.,0.
7635,0.,86.4,1.,35.,0.
7642,0.,86.4,1.,42.,0.
7655,0.,86.4,1.,55.,0.
7658,0.,86.4,1.,58.,0.
7659,0.,86.4,1.,59.,0.
7660,0.,86.4,1.,60.,0.
7661,0.,86.4,1.,61.,0.
7663,0.,86.4,1.,63.,0.
7665,0.,86.4,1.,65.,0.
7677,0.,86.4,1.,77.,0.
7732,0.,86.4,1.,132.,0.
7759,0.,86.4,1.,159.,0.
7763,0.,86.4,1.,163.,0.
7778,0.,86.4,1.,178.,0.
7779,0.,86.4,1.,179.,0.
7780,0.,86.4,1.,180.,0.
7781,0.,86.4,1.,181.,0.
7782,0.,86.4,1.,182.,0.
7784,0.,86.4,1.,184.,0.
7786,0.,86.4,1.,186.,0.
7788,0.,86.4,1.,188.,0.
7790,0.,86.4,1.,190.,0.
7791,0.,86.4,1.,191.,0.
8000,0.,100.8,-1.,0.,0.
