,E0,Ep,dL,phi,th_LRL,Error,n,wfinal
5208.,0.,8.401062818457165e-12,1.,0.25132741228718347,0.,NOERR,2,-1.6008290848998633e-6
4002.,0.,7.000885682047636e-12,-1.,0.06283185307179587,0.,NOERR,22,-0.000014198334819009232
5211.,0.,8.401062818457165e-12,1.,0.34557519189487723,0.,NOERR,1,-3.726577133935755e-7
4013.,0.,7.000885682047636e-12,-1.,0.4084070449666731,0.,NOERR,2,-0.000012052882474269873
5216.,0.,8.401062818457165e-12,1.,0.5026548245743669,0.,NOERR,1,-0.000015375255178336348
28.,0.,1.4001771364095273e-12,-1.,0.8796459430051422,0.,NOERR,2,-0.00004492698852902069
2414.,0.,4.200531409228582e-12,-1.,0.4398229715025711,0.,NOERR,3,-0.00005084333035371592
5218.,0.,8.401062818457165e-12,1.,0.5654866776461628,0.,NOERR,1,9.453817797250244e-7
5223.,0.,8.401062818457165e-12,1.,0.7225663103256524,0.,NOERR,1,-1.2396294063836583e-7
2420.,0.,4.200531409228582e-12,-1.,0.6283185307179586,0.,NOERR,1,-0.000012113212552921065
5226.,0.,8.401062818457165e-12,1.,0.8168140899333463,0.,NOERR,1,2.0176373359304174e-6
41.,0.,1.4001771364095273e-12,-1.,1.288052987971815,0.,NOERR,2,-0.000025931362670671018
2440.,0.,4.200531409228582e-12,-1.,1.2566370614359172,0.,NOERR,1,-2.475027715476215e-6
48.,0.,1.4001771364095273e-12,-1.,1.5079644737231006,0.,NOERR,2,7.232882600978195e-7
2464.,0.,4.200531409228582e-12,-1.,2.0106192982974678,0.,NOERR,2,-3.7236094409536206e-7
4014.,0.,7.000885682047636e-12,-1.,0.4398229715025711,0.,NOERR,2,-0.000044994496714547447
2465.,0.,4.200531409228582e-12,-1.,2.0420352248333655,0.,NOERR,4,3.7842035301137455e-6
4019.,0.,7.000885682047636e-12,-1.,0.5969026041820606,0.,NOERR,2,1.796650982898645e-6
2568.,0.,4.200531409228582e-12,-1.,5.277875658030852,0.,NOERR,1,-5.7141927430174e-6
4021.,0.,7.000885682047636e-12,-1.,0.6597344572538565,0.,NOERR,2,-2.7940509950764835e-6
2573.,0.,4.200531409228582e-12,-1.,5.4349552907103424,0.,NOERR,1,-2.666346693781225e-6
5248.,0.,8.401062818457165e-12,1.,1.5079644737231006,0.,NOERR,2,-0.00002985637984552383
2575.,0.,4.200531409228582e-12,-1.,5.497787143782138,0.,NOERR,1,-2.5377763984286806e-6
49.,0.,1.4001771364095273e-12,-1.,1.5393804002589986,0.,ShortOrb,2,-0.0004834047088007054
4030.,0.,7.000885682047636e-12,-1.,0.9424777960769379,0.,NOERR,66,-0.000015039865613582653
68.,0.,1.4001771364095273e-12,-1.,2.1362830044410597,0.,NOERR,3,-1.5127675564699203e-6
5262.,0.,8.401062818457165e-12,1.,1.9477874452256718,0.,NOERR,2,-1.5999479244171554e-6
4032.,0.,7.000885682047636e-12,-1.,1.0053096491487339,0.,ShortOrb,4,-0.00005207143083152971
170.,0.,1.4001771364095273e-12,-1.,5.340707511102648,0.,NOERR,1,4.7538905029065455e-6
171.,0.,1.4001771364095273e-12,-1.,5.372123437638546,0.,NOERR,2,1.1010375283281174e-6
5263.,0.,8.401062818457165e-12,1.,1.9792033717615696,0.,NOERR,2,-4.939604547234113e-6
5264.,0.,8.401062818457165e-12,1.,2.0106192982974678,0.,NOERR,3,4.1654414171803475e-6
5276.,0.,8.401062818457165e-12,1.,2.3876104167282426,0.,NOERR,1,-1.95217459791921e-6
2691.,0.,4.200531409228582e-12,-1.,2.858849314766712,3.141592653589793,ShortOrb,2,-0.00005033418658739741
5285.,0.,8.401062818457165e-12,1.,2.670353755551324,0.,NOERR,2,-2.3195676504694692e-6
2704.,0.,4.200531409228582e-12,-1.,3.267256359733385,3.141592653589793,NOERR,1,5.349239186021815e-6
2707.,0.,4.200531409228582e-12,-1.,3.3615041393410787,3.141592653589793,NOERR,1,-2.952505222589918e-6
2741.,0.,4.200531409228582e-12,-1.,4.429645641561608,3.141592653589793,NOERR,2,1.1184404930675797e-6
5357.,0.,8.401062818457165e-12,1.,4.932300466135976,0.,NOERR,1,-0.000025947260285310192
2743.,0.,4.200531409228582e-12,-1.,4.492477494633404,3.141592653589793,NOERR,54,-0.00001917417951131707
2744.,0.,4.200531409228582e-12,-1.,4.523893421169302,3.141592653589793,NOERR,2,8.415340157613465e-6
5361.,0.,8.401062818457165e-12,1.,5.057964172279568,0.,NOERR,1,-5.920642549633332e-6
5376.,0.,8.401062818457165e-12,1.,5.529203070318036,0.,NOERR,2,0.000012675615684422663
2802.,0.,4.200531409228582e-12,1.,0.06283185307179587,0.,NOERR,1,-4.734684108319282e-7
177.,0.,1.4001771364095273e-12,-1.,5.5606189968539335,0.,NOERR,3,-0.000054344826573730245
2804.,0.,4.200531409228582e-12,1.,0.12566370614359174,0.,NOERR,1,-4.756389299647892e-7
179.,0.,1.4001771364095273e-12,-1.,5.62345084992573,0.,NOERR,2,-7.035894579922898e-7
4034.,0.,7.000885682047636e-12,-1.,1.0681415022205298,0.,NOERR,3,-0.00005571461447046855
5377.,0.,8.401062818457165e-12,1.,5.5606189968539335,0.,NOERR,2,-9.289942307080547e-6
188.,0.,1.4001771364095273e-12,-1.,5.9061941887488105,0.,NOERR,2,2.0447773921028595e-6
195.,0.,1.4001771364095273e-12,-1.,6.126105674500097,0.,NOERR,1,-7.62109692742709e-7
2812.,0.,4.200531409228582e-12,1.,0.37699111843077515,0.,NOERR,2,-1.5700164003128218e-6
4035.,0.,7.000885682047636e-12,-1.,1.0995574287564276,0.,NOERR,2,-6.394397740209142e-6
5382.,0.,8.401062818457165e-12,1.,5.717698629533424,0.,ShortOrb,3,-0.00004526983025547997
5388.,0.,8.401062818457165e-12,1.,5.9061941887488105,0.,NOERR,2,-1.2951991561987275e-6
5392.,0.,8.401062818457165e-12,1.,6.031857894892402,0.,NOERR,2,-1.2725828965238184e-6
5396.,0.,8.401062818457165e-12,1.,6.157521601035994,0.,NOERR,1,-2.7129438570608964e-8
5397.,0.,8.401062818457165e-12,1.,6.188937527571892,0.,NOERR,1,6.4367499412566725e-6
5398.,0.,8.401062818457165e-12,1.,6.220353454107791,0.,ShortOrb,2,-0.000048160161163666396
5505.,0.,8.401062818457165e-12,1.,3.2986722862692828,3.141592653589793,NOERR,2,5.354265634972634e-6
297.,0.,1.4001771364095273e-12,-1.,3.0473448739820994,3.141592653589793,NOERR,2,-0.00003856064323992046
5520.,0.,8.401062818457165e-12,1.,3.7699111843077517,3.141592653589793,NOERR,3,-3.675203879820088e-6
5525.,0.,8.401062818457165e-12,1.,3.9269908169872414,3.141592653589793,NOERR,2,2.996111634623189e-6
5600.,0.,1.1201417091276219e-11,-1.,0.,0.,NOERR,4,-2.0114377845470903e-6
4036.,0.,7.000885682047636e-12,-1.,1.1309733552923256,0.,NOERR,3,-0.0000396197481132734
2814.,0.,4.200531409228582e-12,1.,0.4398229715025711,0.,NOERR,4,-0.000054277178622107444
5601.,0.,1.1201417091276219e-11,-1.,0.031415926535897934,0.,NOERR,2,-0.000028418785307618912
2820.,0.,4.200531409228582e-12,1.,0.6283185307179586,0.,NOERR,1,-0.000012113212552921065
4040.,0.,7.000885682047636e-12,-1.,1.2566370614359172,0.,ShortOrb,2,-0.0000611035946280758
2840.,0.,4.200531409228582e-12,1.,1.2566370614359172,0.,NOERR,1,-2.475027715476215e-6
2864.,0.,4.200531409228582e-12,1.,2.0106192982974678,0.,NOERR,2,-4.557498590462771e-6
2865.,0.,4.200531409228582e-12,1.,2.0420352248333655,0.,NOERR,2,4.5669073661078105e-6
5605.,0.,1.1201417091276219e-11,-1.,0.15707963267948966,0.,NOERR,2,-0.00002467068064162792
4054.,0.,7.000885682047636e-12,-1.,1.6964600329384885,0.,NOERR,4,-0.00002395141530705712
2968.,0.,4.200531409228582e-12,1.,5.277875658030852,0.,NOERR,1,-5.7141927430174e-6
4064.,0.,7.000885682047636e-12,-1.,2.0106192982974678,0.,NOERR,8,-5.935050143402643e-7
2973.,0.,4.200531409228582e-12,1.,5.4349552907103424,0.,NOERR,1,-2.666346693781225e-6
314.,0.,1.4001771364095273e-12,-1.,3.581415625092364,3.141592653589793,NOERR,3,-0.0000635057576623076
2975.,0.,4.200531409228582e-12,1.,5.497787143782138,0.,NOERR,1,-2.5377763984286806e-6
5612.,0.,1.1201417091276219e-11,-1.,0.37699111843077515,0.,ShortOrb,3,-0.00006736106579672182
4081.,0.,7.000885682047636e-12,-1.,2.5446900494077327,0.,NOERR,1,-7.524999747436765e-6
4083.,0.,7.000885682047636e-12,-1.,2.607521902479528,0.,NOERR,2,4.8804703351819424e-6
4161.,0.,7.000885682047636e-12,-1.,5.057964172279568,0.,NOERR,1,2.4739855737546005e-6
4175.,0.,7.000885682047636e-12,-1.,5.497787143782138,0.,NOERR,2,-4.1911266841075136e-7
4176.,0.,7.000885682047636e-12,-1.,5.529203070318036,0.,NOERR,2,3.0868705088193394e-6
4177.,0.,7.000885682047636e-12,-1.,5.5606189968539335,0.,NOERR,2,8.389615378433556e-6
321.,0.,1.4001771364095273e-12,-1.,3.8013271108436495,3.141592653589793,NOERR,2,-0.000022602623038604078
3091.,0.,4.200531409228582e-12,1.,2.858849314766712,3.141592653589793,ShortOrb,2,-0.00005033418658739741
4185.,0.,7.000885682047636e-12,-1.,5.811946409141117,0.,NOERR,2,-2.8124545619527986e-6
3104.,0.,4.200531409228582e-12,1.,3.267256359733385,3.141592653589793,NOERR,1,5.349239186021815e-6
4194.,0.,7.000885682047636e-12,-1.,6.094689747964199,0.,NOERR,2,2.6553653575046546e-6
4309.,0.,7.000885682047636e-12,-1.,3.4243359924128747,3.141592653589793,NOERR,1,-2.674750903800793e-7
3107.,0.,4.200531409228582e-12,1.,3.3615041393410787,3.141592653589793,NOERR,1,-2.952505222589918e-6
3141.,0.,4.200531409228582e-12,1.,4.429645641561608,3.141592653589793,NOERR,2,1.118440445694895e-6
4316.,0.,7.000885682047636e-12,-1.,3.64424747816416,3.141592653589793,NOERR,2,-1.5176306626946933e-7
4318.,0.,7.000885682047636e-12,-1.,3.707079331235956,3.141592653589793,NOERR,2,-1.1141963079122917e-6
5614.,0.,1.1201417091276219e-11,-1.,0.4398229715025711,0.,NOERR,2,-0.00005327322374669893
5621.,0.,1.1201417091276219e-11,-1.,0.6597344572538565,0.,ShortOrb,8,-0.00005147759431077083
323.,0.,1.4001771364095273e-12,-1.,3.8641589639154454,3.141592653589793,NOERR,2,-0.00003163277150009128
3143.,0.,4.200531409228582e-12,1.,4.492477494633404,3.141592653589793,NOERR,3,-0.000012966784776621533
5622.,0.,1.1201417091276219e-11,-1.,0.6911503837897545,0.,NOERR,2,9.517134111418277e-7
3144.,0.,4.200531409228582e-12,1.,4.523893421169302,3.141592653589793,NOERR,2,8.415340306742241e-6
5623.,0.,1.1201417091276219e-11,-1.,0.7225663103256524,0.,NOERR,2,2.3624866080796604e-6
3201.,0.,5.600708545638109e-12,-1.,0.031415926535897934,0.,NOERR,2,2.3483400456508338e-6
5626.,0.,1.1201417091276219e-11,-1.,0.8168140899333463,0.,NOERR,3,2.8332085923494533e-6
343.,0.,1.4001771364095273e-12,-1.,4.492477494633404,3.141592653589793,NOERR,2,-0.000015960623767297664
5635.,0.,1.1201417091276219e-11,-1.,1.0995574287564276,0.,NOERR,2,-6.447784863523768e-6
5638.,0.,1.1201417091276219e-11,-1.,1.1938052083641213,0.,NOERR,1,1.1370903240069335e-6
4319.,0.,7.000885682047636e-12,-1.,3.7384952577718535,3.141592653589793,NOERR,2,-0.00003388500867114734
3204.,0.,5.600708545638109e-12,-1.,0.12566370614359174,0.,NOERR,2,-0.000017822705015038824
5639.,0.,1.1201417091276219e-11,-1.,1.2252211349000193,0.,NOERR,2,-5.788637794928497e-6
4321.,0.,7.000885682047636e-12,-1.,3.8013271108436495,3.141592653589793,NOERR,1,1.9365877556330826e-7
3213.,0.,5.600708545638109e-12,-1.,0.4084070449666731,0.,NOERR,3,4.641900418498262e-6
4327.,0.,7.000885682047636e-12,-1.,3.9898226700590373,3.141592653589793,NOERR,2,0.000013454325853680957
423.,0.,1.4001771364095273e-12,1.,0.7225663103256524,0.,NOERR,2,-0.000027775676880311168
4328.,0.,7.000885682047636e-12,-1.,4.0212385965949355,3.141592653589793,NOERR,6,-2.8742435741380505e-6
5640.,0.,1.1201417091276219e-11,-1.,1.2566370614359172,0.,NOERR,2,-1.5118511260185028e-7
4334.,0.,7.000885682047636e-12,-1.,4.209734155810323,3.141592653589793,NOERR,2,-1.0793306531473548e-6
3218.,0.,5.600708545638109e-12,-1.,0.5654866776461628,0.,NOERR,3,-0.000012383499846504978
5645.,0.,1.1201417091276219e-11,-1.,1.413716694115407,0.,NOERR,1,-7.343162990623989e-6
3228.,0.,5.600708545638109e-12,-1.,0.8796459430051422,0.,ShortOrb,2,-0.00004822227991141837
5658.,0.,1.1201417091276219e-11,-1.,1.82212373908208,0.,NOERR,1,-3.382916554466425e-6
427.,0.,1.4001771364095273e-12,1.,0.8482300164692442,0.,NOERR,2,-0.000019917021839781586
5660.,0.,1.1201417091276219e-11,-1.,1.8849555921538759,0.,NOERR,2,-6.331045440598676e-6
3250.,0.,5.600708545638109e-12,-1.,1.5707963267948966,0.,NOERR,2,-0.000023561060336755866
3253.,0.,5.600708545638109e-12,-1.,1.6650441064025905,0.,NOERR,2,-6.82266655008651e-7
3254.,0.,5.600708545638109e-12,-1.,1.6964600329384885,0.,NOERR,2,-2.4598439957219365e-6
3257.,0.,5.600708545638109e-12,-1.,1.790707812546182,0.,NOERR,2,2.6729013500199844e-6
5662.,0.,1.1201417091276219e-11,-1.,1.9477874452256718,0.,ShortOrb,3,-0.000027436739195252358
5664.,0.,1.1201417091276219e-11,-1.,2.0106192982974678,0.,NOERR,2,-3.6084591112090353e-6
5665.,0.,1.1201417091276219e-11,-1.,2.0420352248333655,0.,NOERR,2,1.8192889479295375e-6
4402.,0.,7.000885682047636e-12,1.,0.06283185307179587,0.,NOERR,5,-0.00005084278364627727
5666.,0.,1.1201417091276219e-11,-1.,2.0734511513692637,0.,NOERR,19,-8.60266740774542e-6
5669.,0.,1.1201417091276219e-11,-1.,2.167698930976957,0.,ShortOrb,14,-0.0000475944981934711
4413.,0.,7.000885682047636e-12,1.,0.4084070449666731,0.,NOERR,3,-1.3715160036350334e-6
428.,0.,1.4001771364095273e-12,1.,0.8796459430051422,0.,NOERR,2,-0.00004492698852902069
5674.,0.,1.1201417091276219e-11,-1.,2.324778563656447,0.,NOERR,1,-5.107227659573454e-6
3259.,0.,5.600708545638109e-12,-1.,1.853539665617978,0.,NOERR,2,-0.00003202270154307503
5675.,0.,1.1201417091276219e-11,-1.,2.356194490192345,0.,NOERR,1,-4.130458098899537e-6
5676.,0.,1.1201417091276219e-11,-1.,2.3876104167282426,0.,NOERR,1,4.65539604902309e-6
441.,0.,1.4001771364095273e-12,1.,1.288052987971815,0.,NOERR,2,-0.000025931362670671018
448.,0.,1.4001771364095273e-12,1.,1.5079644737231006,0.,NOERR,2,7.232882606794784e-7
3261.,0.,5.600708545638109e-12,-1.,1.9163715186897738,0.,NOERR,1,-0.000025468766320389653
3264.,0.,5.600708545638109e-12,-1.,2.0106192982974678,0.,NOERR,2,-4.729500041695403e-7
5683.,0.,1.1201417091276219e-11,-1.,2.607521902479528,0.,NOERR,1,-0.000022972404384115728
5760.,0.,1.1201417091276219e-11,-1.,5.026548245743669,0.,ShortOrb,5,-0.000051778897031864565
4414.,0.,7.000885682047636e-12,1.,0.4398229715025711,0.,NOERR,2,-0.000044994496714547447
3265.,0.,5.600708545638109e-12,-1.,2.0420352248333655,0.,NOERR,3,-3.729469683837391e-6
4419.,0.,7.000885682047636e-12,1.,0.5969026041820606,0.,NOERR,2,1.7966507722512137e-6
3282.,0.,5.600708545638109e-12,-1.,2.57610597594363,0.,NOERR,2,0.000012495307124243951
5763.,0.,1.1201417091276219e-11,-1.,5.120796025351362,0.,NOERR,4,-7.696213403558288e-6
3373.,0.,5.600708545638109e-12,-1.,5.4349552907103424,0.,NOERR,2,-2.075818537825781e-6
4421.,0.,7.000885682047636e-12,1.,0.6597344572538565,0.,NOERR,2,-2.6313389292820575e-6
3374.,0.,5.600708545638109e-12,-1.,5.46637121724624,0.,NOERR,3,3.716342658213029e-6
449.,0.,1.4001771364095273e-12,1.,1.5393804002589986,0.,ShortOrb,2,-0.0004834047088007054
4430.,0.,7.000885682047636e-12,1.,0.9424777960769379,0.,ShortOrb,13,-0.000049988934323832186
468.,0.,1.4001771364095273e-12,1.,2.1362830044410597,0.,NOERR,3,-1.5127676248287805e-6
4432.,0.,7.000885682047636e-12,1.,1.0053096491487339,0.,ShortOrb,4,-0.00005207143083168943
570.,0.,1.4001771364095273e-12,1.,5.340707511102648,0.,NOERR,1,4.7538905029065455e-6
571.,0.,1.4001771364095273e-12,1.,5.372123437638546,0.,NOERR,2,1.101037529092076e-6
3380.,0.,5.600708545638109e-12,-1.,5.654866776461628,0.,NOERR,6,-1.5375027777903689e-6
3495.,0.,5.600708545638109e-12,-1.,2.9845130209103035,3.141592653589793,NOERR,2,-7.983940018712464e-7
3503.,0.,5.600708545638109e-12,-1.,3.235840433197487,3.141592653589793,NOERR,1,2.1772702971199725e-6
3506.,0.,5.600708545638109e-12,-1.,3.330088212805181,3.141592653589793,NOERR,1,2.4302421940303407e-6
3523.,0.,5.600708545638109e-12,-1.,3.8641589639154454,3.141592653589793,NOERR,2,1.2893311312913853e-6
3536.,0.,5.600708545638109e-12,-1.,4.272566008882119,3.141592653589793,NOERR,2,4.172376077308173e-6
5777.,0.,1.1201417091276219e-11,-1.,5.5606189968539335,0.,NOERR,3,-0.000040855395824866625
5778.,0.,1.1201417091276219e-11,-1.,5.592034923389832,0.,NOERR,2,2.770833730076011e-6
3537.,0.,5.600708545638109e-12,-1.,4.303981935418017,3.141592653589793,NOERR,1,-0.000013372219097008426
3539.,0.,5.600708545638109e-12,-1.,4.366813788489812,3.141592653589793,NOERR,2,-3.330126903839228e-6
5779.,0.,1.1201417091276219e-11,-1.,5.62345084992573,0.,NOERR,3,-9.043694526346402e-6
5781.,0.,1.1201417091276219e-11,-1.,5.686282702997525,0.,NOERR,2,2.5691173872842424e-6
3601.,0.,5.600708545638109e-12,1.,0.031415926535897934,0.,NOERR,2,-3.3998289971988724e-6
577.,0.,1.4001771364095273e-12,1.,5.5606189968539335,0.,NOERR,3,-0.000054344826573730245
579.,0.,1.4001771364095273e-12,1.,5.62345084992573,0.,NOERR,2,-7.0358945805217e-7
4434.,0.,7.000885682047636e-12,1.,1.0681415022205298,0.,NOERR,3,-0.00005571461447046855
5783.,0.,1.1201417091276219e-11,-1.,5.749114556069322,0.,NOERR,2,-7.148657275195059e-7
588.,0.,1.4001771364095273e-12,1.,5.9061941887488105,0.,NOERR,2,2.0447773946692287e-6
595.,0.,1.4001771364095273e-12,1.,6.126105674500097,0.,NOERR,1,-7.62109692742709e-7
5788.,0.,1.1201417091276219e-11,-1.,5.9061941887488105,0.,NOERR,1,3.6382262624968665e-6
5796.,0.,1.1201417091276219e-11,-1.,6.157521601035994,0.,ShortOrb,3,-0.00005145313694979192
4435.,0.,7.000885682047636e-12,1.,1.0995574287564276,0.,NOERR,2,-7.78783940656565e-6
6000.,0.,1.1201417091276219e-11,1.,0.,0.,NOERR,4,-3.6000269656137488e-6
3604.,0.,5.600708545638109e-12,1.,0.12566370614359174,0.,NOERR,2,-0.000017822705015038824
3613.,0.,5.600708545638109e-12,1.,0.4084070449666731,0.,NOERR,3,4.641887090619689e-6
6001.,0.,1.1201417091276219e-11,1.,0.031415926535897934,0.,NOERR,2,-0.000015255598935962011
3618.,0.,5.600708545638109e-12,1.,0.5654866776461628,0.,NOERR,3,-2.5003760094305057e-6
3628.,0.,5.600708545638109e-12,1.,0.8796459430051422,0.,ShortOrb,2,-0.00004822227442998508
697.,0.,1.4001771364095273e-12,1.,3.0473448739820994,3.141592653589793,NOERR,2,-0.00003856064323992046
6005.,0.,1.1201417091276219e-11,1.,0.15707963267948966,0.,NOERR,2,-0.00002467068064162792
4436.,0.,7.000885682047636e-12,1.,1.1309733552923256,0.,NOERR,3,-0.0000396197481132734
3650.,0.,5.600708545638109e-12,1.,1.5707963267948966,0.,NOERR,2,-0.000023561060336755866
3653.,0.,5.600708545638109e-12,1.,1.6650441064025905,0.,NOERR,2,-6.822666560543487e-7
3654.,0.,5.600708545638109e-12,1.,1.6964600329384885,0.,NOERR,2,-1.4737623735055463e-6
3657.,0.,5.600708545638109e-12,1.,1.790707812546182,0.,NOERR,2,2.724584267055259e-6
6012.,0.,1.1201417091276219e-11,1.,0.37699111843077515,0.,ShortOrb,3,0.00021518617606308688
4440.,0.,7.000885682047636e-12,1.,1.2566370614359172,0.,ShortOrb,2,-0.0000611035946280758
714.,0.,1.4001771364095273e-12,1.,3.581415625092364,3.141592653589793,NOERR,3,-0.0000635057576623076
3659.,0.,5.600708545638109e-12,1.,1.853539665617978,0.,NOERR,2,-0.00003202270154307503
4454.,0.,7.000885682047636e-12,1.,1.6964600329384885,0.,NOERR,5,-0.00003087375766685044
4464.,0.,7.000885682047636e-12,1.,2.0106192982974678,0.,NOERR,8,-3.0092350980932642e-6
6014.,0.,1.1201417091276219e-11,1.,0.4398229715025711,0.,NOERR,2,-0.00005327322374669893
4481.,0.,7.000885682047636e-12,1.,2.5446900494077327,0.,NOERR,1,-7.524999747436765e-6
4483.,0.,7.000885682047636e-12,1.,2.607521902479528,0.,NOERR,2,4.88047035810195e-6
6021.,0.,1.1201417091276219e-11,1.,0.6597344572538565,0.,ShortOrb,8,-0.000051477596718694864
3661.,0.,5.600708545638109e-12,1.,1.9163715186897738,0.,NOERR,1,-0.000025468766320389653
4561.,0.,7.000885682047636e-12,1.,5.057964172279568,0.,NOERR,1,2.4739855737546005e-6
6022.,0.,1.1201417091276219e-11,1.,0.6911503837897545,0.,NOERR,2,9.517134120885557e-7
3664.,0.,5.600708545638109e-12,1.,2.0106192982974678,0.,NOERR,2,-4.7295000557533853e-7
4575.,0.,7.000885682047636e-12,1.,5.497787143782138,0.,NOERR,2,-4.1911011157189767e-7
721.,0.,1.4001771364095273e-12,1.,3.8013271108436495,3.141592653589793,NOERR,2,-0.000022602623038604078
6023.,0.,1.1201417091276219e-11,1.,0.7225663103256524,0.,NOERR,2,2.8687643111318222e-6
3665.,0.,5.600708545638109e-12,1.,2.0420352248333655,0.,NOERR,3,3.300080253809229e-6
4576.,0.,7.000885682047636e-12,1.,5.529203070318036,0.,NOERR,2,3.0868704396405823e-6
3682.,0.,5.600708545638109e-12,1.,2.57610597594363,0.,NOERR,2,0.000012495307128621917
4577.,0.,7.000885682047636e-12,1.,5.5606189968539335,0.,NOERR,2,6.244125967022743e-6
3773.,0.,5.600708545638109e-12,1.,5.4349552907103424,0.,NOERR,2,-2.078257365113015e-6
6026.,0.,1.1201417091276219e-11,1.,0.8168140899333463,0.,NOERR,3,2.833207704431089e-6
3774.,0.,5.600708545638109e-12,1.,5.46637121724624,0.,NOERR,3,3.716356676416409e-6
4585.,0.,7.000885682047636e-12,1.,5.811946409141117,0.,NOERR,2,-2.810527727167005e-6
6035.,0.,1.1201417091276219e-11,1.,1.0995574287564276,0.,NOERR,2,-1.1162591190722378e-6
4594.,0.,7.000885682047636e-12,1.,6.094689747964199,0.,NOERR,2,2.6553719933274366e-6
3780.,0.,5.600708545638109e-12,1.,5.654866776461628,0.,NOERR,6,-1.5362610102770382e-6
6038.,0.,1.1201417091276219e-11,1.,1.1938052083641213,0.,NOERR,1,1.1370903240069335e-6
4709.,0.,7.000885682047636e-12,1.,3.4243359924128747,3.141592653589793,NOERR,1,-2.674750903800793e-7
3895.,0.,5.600708545638109e-12,1.,2.9845130209103035,3.141592653589793,NOERR,2,-7.983940000197025e-7
6989.,0.,1.4001771364095272e-11,1.,5.937610115284708,0.,NOERR,1,0.000010970487150353627
4716.,0.,7.000885682047636e-12,1.,3.64424747816416,3.141592653589793,NOERR,2,-1.517630666950774e-7
723.,0.,1.4001771364095273e-12,1.,3.8641589639154454,3.141592653589793,NOERR,2,-0.00003163277150009128
6039.,0.,1.1201417091276219e-11,1.,1.2252211349000193,0.,NOERR,2,-3.4012915103715187e-6
6993.,0.,1.4001771364095272e-11,1.,6.0632738214283,0.,NOERR,2,1.03251670980186e-6
4718.,0.,7.000885682047636e-12,1.,3.707079331235956,3.141592653589793,NOERR,2,-1.1141959155142097e-6
6040.,0.,1.1201417091276219e-11,1.,1.2566370614359172,0.,NOERR,2,-3.4490052436606537e-7
