,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
16800,-3.0396598110480402e-06,1.4001771364095269e-11,results\2018-01-31T19-44-15.txt,0.08718815193446923,6.397606900908917e-35,-1.0,0.0,0.15224431568054655,8.415939000579712e-33,0.4133333333333333,3.1988034304550763e-35
17000,-3.0396598110480402e-06,1.4001771364095269e-11,results\2018-01-31T19-44-15.txt,0.005,1.0924657004176827e-37,-1.0,3.1415926535897927,2.9216811678385075,4.369862306286994e-33,0.005,5.462328484941026e-38
17200,-3.0396598110480402e-06,1.4001771364095269e-11,results\2018-01-31T19-44-15.txt,0.08718815193446923,6.397606900908917e-35,1.0,0.0,0.15224431568054655,8.415939000579712e-33,0.4133333333333333,3.1988034304550763e-35
17400,-3.0396598110480402e-06,1.4001771364095269e-11,results\2018-01-31T19-44-15.txt,0.005,1.0924657004176827e-37,1.0,3.1415926535897927,2.9216811678385075,4.369862306286994e-33,0.005,5.462328484941026e-38
17600,-3.0396598110480402e-06,1.6802125636914323e-11,results\2018-01-31T22-30-08.txt,0.04521407931163611,4.6769791759165533e-35,-1.0,0.0,0.8926139249366125,2.2877999384211812e-32,0.3980833333333333,2.338489562072841e-35
17800,-3.0396598110480402e-06,1.6802125636914323e-11,results\2018-01-31T22-30-08.txt,0.009998766324816609,1.6275292298932764e-37,-1.0,3.1415926535897927,3.1573006168577415,1.62793059823818e-33,0.01,8.13764618613981e-38
18000,-3.0396598110480402e-06,1.6802125636914323e-11,results\2018-01-31T22-30-08.txt,0.04521407931163611,4.6769791759165533e-35,1.0,0.0,0.8926139249366125,2.2877999384211812e-32,0.3980833333333333,2.338489562072841e-35
18200,-3.0396598110480402e-06,1.6802125636914323e-11,results\2018-01-31T22-30-08.txt,0.009998766324816609,1.6275292298932764e-37,1.0,3.1415926535897927,3.1573006168577415,1.62793059823818e-33,0.01,8.13764618613981e-38
18400,-3.0396598110480402e-06,1.9602479909733372e-11,results\2018-02-01T01-21-16.txt,0.04340099727124192,3.644602449815092e-35,-1.0,0.0,1.179330078148677,1.9348653494202767e-32,0.34041666666666665,1.8223012314279398e-35
18600,-3.0396598110480402e-06,1.9602479909733372e-11,results\2018-02-01T01-21-16.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
18800,-3.0396598110480402e-06,1.9602479909733372e-11,results\2018-02-01T01-21-16.txt,0.04340099727124192,3.644602449815092e-35,1.0,0.0,1.179330078148677,1.9348653494202767e-32,0.34041666666666665,1.8223012314279398e-35
19000,-3.0396598110480402e-06,1.9602479909733372e-11,results\2018-02-01T01-21-16.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
19200,-3.0396598110480402e-06,2.2402834182552434e-11,results\2018-02-01T03-52-26.txt,0.006204480577902862,3.6446021583507614e-35,-1.0,0.0,6.167466274811555,9.467591209215422e-31,0.3190119047619048,1.82230123186126e-35
19400,-3.0396598110480402e-06,2.2402834182552434e-11,results\2018-02-01T03-52-26.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
