,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
2804,0.,4.2005314092285815e-12,1.,0.12566370614359174,0.,mxst,0.,1.5596715503627384e9,-0.00006482652637507247
2812,0.,4.2005314092285815e-12,1.,0.37699111843077515,0.,ndsz,0.,9.376118148311839e8,-0.000048856759470083944
2814,0.,4.2005314092285815e-12,1.,0.4398229715025711,0.,mxst,0.,1.776389054853402e9,-0.000032279151307740284
2820,0.,4.2005314092285815e-12,1.,0.6283185307179586,0.,mxst,0.,1.7660169120335028e9,-0.00004743919226003193
2840,0.,4.2005314092285815e-12,1.,1.2566370614359172,0.,ndsz,0.,9.517672772213911e8,-1.8116611002483296e-6
2864,0.,4.2005314092285815e-12,1.,2.0106192982974678,0.,ndsz,0.,4.9605261708050036e8,-3.0237355017892487e-6
2865,0.,4.2005314092285815e-12,1.,2.0420352248333655,0.,ndsz,0.,5.2483765330492103e8,1.655804950928541e-7
2968,0.,4.2005314092285815e-12,1.,5.277875658030852,0.,mxst,0.,2.4050612400763655e9,-0.00003733505215541312
2973,0.,4.2005314092285815e-12,1.,5.4349552907103424,0.,ndsz,0.,4.037510402758928e8,-1.968674028018924e-6
2975,0.,4.2005314092285815e-12,1.,5.497787143782138,0.,ndsz,0.,4.225977670790896e8,-4.106420377791853e-6
3091,0.,4.2005314092285815e-12,1.,2.858849314766712,3.141592653589793,mxst,0.,1.6254814446925268e9,-0.00004637143740349181
3104,0.,4.2005314092285815e-12,1.,3.267256359733385,3.141592653589793,mxst,0.,1.853389565789744e9,-0.00004576116042356794
3107,0.,4.2005314092285815e-12,1.,3.3615041393410787,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.00004676037722477951
3141,0.,4.2005314092285815e-12,1.,4.429645641561608,3.141592653589793,ndsz,0.,1.2391999264462795e9,-4.522114693372714e-6
3143,0.,4.2005314092285815e-12,1.,4.492477494633404,3.141592653589793,ndsz,0.,8.47090334538353e8,-0.000035932515885406247
3144,0.,4.2005314092285815e-12,1.,4.523893421169302,3.141592653589793,ndsz,0.,7.129591893567146e8,2.1874490112733236e-6
3201,0.,5.6007085456381085e-12,-1.,0.031415926535897934,0.,ndsz,0.,4.70993001342885e8,-3.999100883333995e-6
3204,0.,5.6007085456381085e-12,-1.,0.12566370614359174,0.,mxst,0.,2.6169150900770555e9,-0.00001781407585217411
3213,0.,5.6007085456381085e-12,-1.,0.4084070449666731,0.,ndsz,0.,5.847542502206225e8,-9.57537049828261e-6
3218,0.,5.6007085456381085e-12,-1.,0.5654866776461628,0.,ndsz,0.,5.981859637623975e8,-9.808712960079902e-6
3228,0.,5.6007085456381085e-12,-1.,0.8796459430051422,0.,ndsz,0.,8.099361171991652e8,-0.00005395951977504865
3250,0.,5.6007085456381085e-12,-1.,1.5707963267948966,0.,mxst,0.,1.249078341790865e9,-0.00007119839619398416
3253,0.,5.6007085456381085e-12,-1.,1.6650441064025905,0.,mxst,0.,2.459003004289614e9,-0.000025522000224959595
3254,0.,5.6007085456381085e-12,-1.,1.6964600329384885,0.,ndsz,0.,4.962821162864155e8,-3.6149423578990536e-6
3257,0.,5.6007085456381085e-12,-1.,1.790707812546182,0.,ndsz,0.,5.302888453500453e8,1.601106447424172e-8
3259,0.,5.6007085456381085e-12,-1.,1.853539665617978,0.,mxst,0.,1.858066834992886e9,-0.000020112810414738003
3261,0.,5.6007085456381085e-12,-1.,1.9163715186897738,0.,mxst,0.,2.5039033711190963e9,-0.000041913325629249344
3264,0.,5.6007085456381085e-12,-1.,2.0106192982974678,0.,ndsz,0.,4.0814048920484185e8,4.020792431447262e-6
3265,0.,5.6007085456381085e-12,-1.,2.0420352248333655,0.,ndsz,0.,4.284823427322052e8,-2.1661329844824273e-6
3282,0.,5.6007085456381085e-12,-1.,2.57610597594363,0.,ndsz,0.,8.268274667312505e8,8.077545408504327e-6
