# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-31-11.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:31:11
# Dir	-1
# field	1.9446904672354544e-12
# zi	-6.
W	field	zb	t	argt
7.599149527620101e-6	1.9446904672354544e-12	-4.035077247480488e6	1.9537907120543911e9	0.
1.8237958866288243e-6	1.9446904672354544e-12	-1.3257151998144528e6	9.261926072392093e8	0.
3.7995747638100507e-6	1.9446904672354544e-12	-2.1887570982024283e6	1.3434523434456553e9	0.
5.775353640991277e-6	1.9446904672354544e-12	-3.1338899408770464e6	1.6859007354344206e9	0.
7.751132518172502e-6	1.9446904672354544e-12	-4.1108801439470523e6	1.9745281268093903e9	0.
1.9757788771812262e-6	1.9446904672354544e-12	-1.3867864680330453e6	9.60931546470136e8	0.
3.9515577543624524e-6	1.9446904672354544e-12	-2.2595492556954273e6	1.3722390046192346e9	0.
5.927336631543679e-6	1.9446904672354544e-12	-3.208240130366676e6	1.7097390194974663e9	0.
7.903115508724905e-6	1.9446904672354544e-12	-4.186765708370016e6	1.9950533201934183e9	0.
8.055098499277307e-6	1.9446904672354544e-12	-4.262729775540849e6	2.0153721320643692e9	0.
0.000010030877376458533	1.9446904672354544e-12	-5.255920759115587e6	2.2630145075268683e9	0.
0.00001200665625363976	1.9446904672354544e-12	-6.256263540405098e6	2.4859128831902957e9	0.
0.000013982435130820985	1.9446904672354544e-12	-7.2608776391268335e6	2.690115103321768e9	0.
8.207081489829708e-6	1.9446904672354544e-12	-4.338768447418097e6	2.0354901469757364e9	0.
0.000010182860367010935	1.9446904672354544e-12	-5.332665543266537e6	2.2809448906770625e9	0.
0.000012158639244192161	1.9446904672354544e-12	-6.333415086058912e6	2.5022238682498465e9	0.
0.000014134418121373388	1.9446904672354544e-12	-7.33828339963381e6	2.705172464118599e9	0.
8.359064480382111e-6	1.9446904672354544e-12	-4.4148780726979235e6	2.055412823892712e9	0.
0.000010334843357563338	1.9446904672354544e-12	-5.409449589070616e6	2.2987338979316545e9	0.
0.000012310622234744563	1.9446904672354544e-12	-6.410590434007972e6	2.518427352580157e9	0.
0.00001428640111192579	1.9446904672354544e-12	-7.415704610865574e6	2.7201448502099404e9	0.
8.511047470934514e-6	1.9446904672354544e-12	-4.491055228167902e6	2.0751452701572545e9	0.
0.000010486826348115739	1.9446904672354544e-12	-5.486271304630775e6	2.31638454892515e9	0.
0.000012462605225296966	1.9446904672354544e-12	-6.4877887557135075e6	2.534525337814568e9	0.
0.000014438384102478191	1.9446904672354544e-12	-7.493140802729459e6	2.735033603257753e9	0.
8.663030461486915e-6	1.9446904672354544e-12	-4.5672967016721545e6	2.0946924207621882e9	0.
0.000010638809338668142	1.9446904672354544e-12	-5.563129181496009e6	2.3339001121485267e9	0.
0.000012614588215849367	1.9446904672354544e-12	-6.565009260184098e6	2.5505198184023366e9	0.
0.000014590367093030594	1.9446904672354544e-12	-7.5705915238388125e6	2.749840149358979e9	0.
8.815013452039317e-6	1.9446904672354544e-12	-4.643599476533658e6	2.114059202511896e9	0.
