,Filename,Dir,zi,kind,W,field
68,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.0427475486938943e-05,
69,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.0427475486938943e-05,
70,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.027549249638655e-05,
71,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.027549249638655e-05,
72,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.012350950583413e-05,
73,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.012350950583413e-05,
74,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.997152651528173e-05,
75,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.997152651528173e-05,
76,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.9819543524729326e-05,
77,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.9819543524729326e-05,
78,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.966756053417693e-05,
79,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.966756053417693e-05,
80,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.951557754362453e-05,
81,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.951557754362453e-05,
82,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.936359455307212e-05,
83,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.936359455307212e-05,
84,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.921161156251972e-05,
85,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.921161156251972e-05,
86,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.9059628571967323e-05,
87,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.9059628571967323e-05,
88,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.890764558141492e-05,
89,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.890764558141492e-05,
90,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.875566259086252e-05,
91,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.875566259086252e-05,
92,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.8603679600310105e-05,
93,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.8603679600310105e-05,
94,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.84516966097577e-05,
95,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.84516966097577e-05,
96,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.829971361920531e-05,
97,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.829971361920531e-05,
98,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.8147730628652915e-05,
99,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.8147730628652915e-05,
100,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.799574763810052e-05,
101,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.799574763810052e-05,
102,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.78437646475481e-05,
103,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.78437646475481e-05,
104,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.76917816569957e-05,
105,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.76917816569957e-05,
106,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.75397986664433e-05,
107,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.75397986664433e-05,
108,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.73878156758909e-05,
109,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.73878156758909e-05,
110,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.7235832685338485e-05,
111,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.7235832685338485e-05,
112,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.708384969478609e-05,
113,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.708384969478609e-05,
114,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.69318667042337e-05,
115,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.69318667042337e-05,
116,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.6779883713681295e-05,
117,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.6779883713681295e-05,
118,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.662790072312889e-05,
119,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.662790072312889e-05,
120,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.6475917732576476e-05,
121,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.6475917732576476e-05,
122,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-3.6323934742024077e-05,
123,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-3.6323934742024077e-05,
